Story ID,Prediction,Rationale
95,0,"Contradict: ML classifier (TF-IDF). Top tokens +[british, learning, his son, him to, him] -[later, cristo, monte, monte cristo, coun."
136,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[secret, by, intelligence, on, 1800] -[lived, island, out, while, from]."
59,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[as, and stayed, stayed, reading, he] -[to the, with, skills, slipped, han."
60,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[thalcave, survivors, saved, led, that] -[them, among, rescue, night, an]."
124,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[on the, marseille, young, on, he] -[but, he, on, marseille, young]."
111,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[old, royalist, quietly, he, several] -[anti, through, though, several, he."
135,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[helped, him, 1800, failed, him in] -[prison, years, in, and, he]."
27,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[as, over, for, in his, worked] -[to the, captain, away, at, his left]."
110,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[letters, revolutionary, he, past, he kept] -[them, locked, while, and, hi."
42,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[british, merchant, on the, on, he] -[first mate, record, experience, firs."
56,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[declined, that the, of the, after, plains] -[to the, spirit, to, an, and]."
80,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[learning, his father, from his, pinned, tracking] -[with, at, began, one,."
28,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[the mate, him, merchant, navigation, of the] -[captain, ayrton, the capta."
101,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[republican, for, he joined, joined, revolutionary] -[at eighteen, eightee."
91,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[as, for, royalist, hidden, he] -[justice, of his, while, in, his]."
24,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[for, ship, trade, route, route to] -[to the, captain, to, captain grant,."
119,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[mediterranean, routes, on, he, into] -[later, with, ancient, first, in]."
93,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[by, letters, for, of the, in marseille] -[the southern, later, inside, hi."
72,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[as, speaking, watched, glenarvan, who] -[english, them, them into, became."
16,1,"Consistent: 1/1 claims verified. ML classifier (TF-IDF). Top tokens +[british, and his, for, and his mother, merchant] -[born in, family his, f."
